no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
221,@realiwasframed @takeatoothbrush @MrsAmes84 @DocBastard @HonestMum All 157 studies that show vaccines cause autism…,FALSE,0,realiwasframed,2/24/19 14:02,TRUE,1.10E+18,1.10E+18,8.77E+17,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
2,Almost All those I spoke with this winter that Got the Flu ALSO had a #FluShot 🤨,FALSE,0,NA,3/7/19 4:36,FALSE,NA,1.10351E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",P_I_Grammy,0,FALSE,FALSE,NA,NA,
3,"@emartinez78987 @nybybirth @AlanFreestone About 40,000 vaccine injuries are reported annually to VAERS. The actual…",FALSE,0,CoercedTaxSlave,3/7/19 2:13,TRUE,1.10348E+18,1.10348E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
4,This year’s #flushot was far more effective than last year's. Here’s why,FALSE,0,NA,3/7/19 1:28,FALSE,NA,1.10347E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",yychealthnut,0,FALSE,FALSE,NA,NA,
5,"Flu Shot Myths Debunked, Why You Need a Flu Shot #flushot #healthcare #bronxvoice",FALSE,0,NA,3/6/19 23:18,FALSE,NA,1.10343E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Bronxvoice1,0,FALSE,FALSE,NA,NA,
6,#MayoClinicMinute: Thinking of skipping a #FluShot this year? The researcher who leads the effort to find an effect…,FALSE,50,NA,3/6/19 22:32,TRUE,NA,1.10342E+18,NA,"<a href=\https://www.sprinklr.com\"" rel=\""nofollow\"">Sprinklr</a>""",MayoClinic,36,FALSE,FALSE,NA,NA,
7,"Naturally, @PergamIC never misses an opportunity to emphasize— get your #flushot if you haven’t already! Seriously,…",FALSE,9,NA,3/6/19 20:46,TRUE,NA,1.1034E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",HutchIDScience,1,FALSE,FALSE,NA,NA,
8,"Thank you @michellemalkin, for your paean to common sense: \[T]his is a thread about #vaccine skepticism"," the subje…""",FALSE,33,NA,3/6/19 20:19,TRUE,NA,1.10339E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HighWireTalk,21,FALSE,FALSE,NA,NA
9,@SenAlexander Over 400 people have been killed by the measles VACCINE since 2003. #vaccines #vaccine #LearnTheRisk…,FALSE,3,SenAlexander,3/6/19 18:32,TRUE,1.10309E+18,1.10336E+18,76649729,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
10,The biggest surprise out of today's #FDA #Flu #Vaccine committee meeting is that experts were NOT surprised that hi…,FALSE,1,Potrblog,3/6/19 18:30,TRUE,1.10332E+18,1.10336E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA,
