no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
75,"#Influenza is still spreading in #Vermont, Remember that the #flu can be dangerous &amp; sometimes fatal. Take steps to…",FALSE,0,NA,3/7/19 19:39,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",healthvermont,0,FALSE,FALSE,NA,NA,,
76,NJ #Flu Risk ‘High' As Whooping Cough Hits Schools,FALSE,0,NA,3/7/19 19:35,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",SterileSpace,0,FALSE,FALSE,NA,NA,,
77,Keep that #Turkey carcass &amp; #Beef #bones to make #GutRestoring #BoneBroth! The Ultimate guide to bone #Broth!…,FALSE,0,NA,3/7/19 19:30,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",AmandaGoodwinHC,0,FALSE,FALSE,NA,NA,,
78,@daterdiary I’ve part two to watch just woke from a 4 hr nap #flu,FALSE,0,daterdiary,3/7/19 19:20,FALSE,1.10E+18,1.10E+18,9.44E+17,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",lexjah,0,FALSE,FALSE,NA,NA,,
79,#GeorgiaState researcher Dr. Baozhong Wang is fighting #influenza #TheStateWay! He's received a $3.86 million feder…,FALSE,1,NA,3/7/19 19:20,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",gsu_news,0,FALSE,FALSE,NA,NA,,
80,This season @Genentech XOFLUZA™ became 1st single-dose oral antiviral approved for #flu treatment in those 12yr of…,FALSE,0,NA,3/7/19 19:15,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,0,FALSE,FALSE,NA,NA,,
81,Published on : Natural remedies for fighting cold and flu this winter and homemade turnip s…,FALSE,0,NA,3/7/19 19:05,TRUE,NA,1.10E+18,NA,"<a href=\https://ifttt.com\"" rel=\""nofollow\"">IFTTT</a>""",OrganicErica,0,FALSE,FALSE,NA,NA,,
82,Need a #flu vaccination? The friendly staff at Insync #Pharmacy in #Rhiwbina are there for you. More details here:…,FALSE,0,NA,3/7/19 19:04,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialoomph.com\"" rel=\""nofollow\"">SocialOomph</a>""",CDFDirectory,0,FALSE,FALSE,NA,NA,,
83,It seems like everyone has the #flu right now! 🤢🤧😷 Think your safe when you quarantine a sick family member to the…,FALSE,0,NA,3/7/19 19:02,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CountryAirTx,0,FALSE,FALSE,NA,NA,,
84,3-year-old Columbus boy dies from complications from the #flu,FALSE,0,NA,3/7/19 19:00,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",isirvAVG,0,FALSE,FALSE,NA,NA,,
85,"When to Wash Your Hands 🧼 1️⃣Before, during &amp; after preparing food 2️⃣Before eating 3️⃣Before &amp; after caring for s…",FALSE,9,NA,3/7/19 18:49,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",LLUMedCenter,1,FALSE,FALSE,NA,NA,,
86,“Having #pneumonia can turn deadly for those of us with compromised #lungs. It means that either a cold or #flu can…,FALSE,3,NA,3/7/19 18:42,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",AChVoice,1,FALSE,FALSE,NA,NA,,
87,There’s another great reason to get your yearly #flu shot! An #ACC19 study that links the #flushot to a 10% lower r…,FALSE,2,NA,3/7/19 18:38,TRUE,NA,1.10E+18,NA,"<a href=\http://www.falcon.io\"" rel=\""nofollow\"">Falcon Social Media Management </a>""",CardioSmart,2,FALSE,FALSE,NA,NA,,
88,Bon Secours Health System is no latecomer to telehealth and other innovations. #Telehealth tools have helped improv…,FALSE,0,NA,3/7/19 18:32,TRUE,NA,1.10E+18,NA,"<a href=\http://www.hubspot.com/\"" rel=\""nofollow\"">HubSpot</a>""",TelemedLeaders,0,FALSE,FALSE,NA,NA,,
89,#Health ~ 10 Steps to Fighting the #Flu,FALSE,0,NA,3/7/19 18:26,FALSE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",Y94Official,0,FALSE,FALSE,NA,NA,,
90,"#Flu #death #toll in #Greece rises to 111, as another 20 people died in a week #GO 🇬🇷",FALSE,0,NA,3/7/19 18:17,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",theGRobsv,0,FALSE,FALSE,NA,NA,,
91,"So now that my daughter is on the mend from both A &amp; B flu strains, it’s my wife’s turn with A strain. So far our 3…",FALSE,0,NA,3/7/19 18:11,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",iamkendall,0,FALSE,FALSE,NA,NA,,
92,The supplements you should be taking during cold and #flu season ➝ @TomahPhillipsND,FALSE,1,NA,3/7/19 18:10,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",besthealthmag,1,FALSE,FALSE,NA,NA,,
