no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
56,"If you are feeling sick, make sure to visit your doctor especially if you have a high fever, your symptoms are prog…",FALSE,0,NA,3/5/19 21:00,TRUE,NA,1.10E+18,NA,"<a href=\http://meetedgar.com\"" rel=\""nofollow\"">Meet Edgar</a>""",natureheals,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
57,"#FluTip: Having #diabetes is a risk factor for #flu complications. If you get sick, ask your #healthcareprovider ab…",FALSE,1,NA,3/5/19 21:00,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",SNHDinfo,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
58,Don't be surprised if you see me doing a namaste instead of a handshake ..this flu season is awful…,FALSE,5,NA,3/5/19 20:55,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",bhavna2015,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
59,Shoutout to the patient subtweeting me from the waiting room #flu #season,FALSE,66,NA,3/5/19 20:51,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",J_mer22,7,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
60,Hi. Buy all my games so I can afford enough nyquil to last me through the end of this fecking flu...…,FALSE,3,NA,3/5/19 20:49,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Aleks_S,6,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
61,"Slowly but surely. #quote The flu knocked me down. But like with anything else, I get back up again! Slowly but sur…",FALSE,2,NA,3/5/19 20:47,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",MariaDivina8888,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
62,Using artificial intelligence to make a better #flu vaccine:,FALSE,0,NA,3/5/19 20:36,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Rndubois,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
63,#Flu is widespread across the United States. These simple actions can help prevent the spread of #influenza germs a…,FALSE,0,NA,3/5/19 20:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",JOCOHealth,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
64,@WNBC @PeiSzeCheng4NY speaks with @MountSinaiNYC Dr. Erick Eiting for an in depth story about combating the #flu,FALSE,0,WNBC,3/5/19 20:24,FALSE,NA,1.10E+18,191661242,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MattKozar_,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
65,If you have never had a cup of thyme tea now is a good time to try one #colds #flu,FALSE,0,NA,3/5/19 20:24,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Nutrition101Liz,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
